1.26E+03,1.59E+06,3.55E+01,1.10E+05,1.20E+10,3.31E+02
1.23E+03,1.51E+06,3.51E+01,1.03E+05,1.06E+10,3.21E+02
1.22E+03,1.50E+06,3.50E+01,1.03E+05,1.07E+10,3.22E+02
1.26E+03,1.60E+06,3.56E+01,1.08E+05,1.16E+10,3.28E+02
1.17E+03,1.37E+06,3.42E+01,1.00E+05,1.01E+10,3.17E+02
1.21E+03,1.47E+06,3.48E+01,1.03E+05,1.05E+10,3.20E+02
1.19E+03,1.42E+06,3.45E+01,1.01E+05,1.01E+10,3.17E+02
1.15E+03,1.31E+06,3.39E+01,9.61E+04,9.24E+09,3.10E+02
1.30E+03,1.68E+06,3.60E+01,1.16E+05,1.35E+10,3.41E+02
1.27E+03,1.61E+06,3.56E+01,1.12E+05,1.26E+10,3.35E+02
1.32E+03,1.73E+06,3.63E+01,1.17E+05,1.38E+10,3.43E+02
1.31E+03,1.72E+06,3.62E+01,1.20E+05,1.44E+10,3.47E+02
1.35E+03,1.82E+06,3.67E+01,1.26E+05,1.58E+10,3.55E+02
1.16E+03,1.35E+06,3.41E+01,1.00E+05,1.00E+10,3.16E+02
1.31E+03,1.72E+06,3.62E+01,1.22E+05,1.50E+10,3.50E+02
1.19E+03,1.42E+06,3.45E+01,1.02E+05,1.04E+10,3.19E+02
1.19E+03,1.41E+06,3.45E+01,1.04E+05,1.08E+10,3.23E+02
1.20E+03,1.44E+06,3.47E+01,1.07E+05,1.14E+10,3.27E+02
1.14E+03,1.30E+06,3.38E+01,1.00E+05,1.00E+10,3.17E+02
1.20E+03,1.44E+06,3.47E+01,1.07E+05,1.14E+10,3.27E+02
1.25E+03,1.57E+06,3.54E+01,1.10E+05,1.21E+10,3.32E+02
1.27E+03,1.61E+06,3.56E+01,1.11E+05,1.24E+10,3.34E+02
1.09E+03,1.18E+06,3.30E+01,9.30E+04,8.64E+09,3.05E+02
1.23E+03,1.51E+06,3.51E+01,1.07E+05,1.14E+10,3.26E+02
1.17E+03,1.37E+06,3.42E+01,1.01E+05,1.02E+10,3.17E+02
1.04E+03,1.07E+06,3.22E+01,8.99E+04,8.09E+09,3.00E+02
1.12E+03,1.26E+06,3.35E+01,9.34E+04,8.72E+09,3.06E+02
1.04E+03,1.08E+06,3.22E+01,8.95E+04,8.01E+09,2.99E+02
1.14E+03,1.29E+06,3.37E+01,9.71E+04,9.42E+09,3.12E+02
1.02E+03,1.03E+06,3.19E+01,8.62E+04,7.42E+09,2.94E+02
1.07E+03,1.14E+06,3.27E+01,8.77E+04,7.69E+09,2.96E+02
1.02E+03,1.04E+06,3.20E+01,8.66E+04,7.49E+09,2.94E+02
1.01E+03,1.02E+06,3.17E+01,8.52E+04,7.26E+09,2.92E+02
1.08E+03,1.16E+06,3.28E+01,8.67E+04,7.52E+09,2.94E+02
1.01E+03,1.03E+06,3.18E+01,8.54E+04,7.29E+09,2.92E+02
1.05E+03,1.10E+06,3.24E+01,8.59E+04,7.38E+09,2.93E+02
1.07E+03,1.14E+06,3.27E+01,8.75E+04,7.65E+09,2.96E+02
1.09E+03,1.18E+06,3.30E+01,8.68E+04,7.54E+09,2.95E+02
1.05E+03,1.09E+06,3.23E+01,8.46E+04,7.16E+09,2.91E+02
1.07E+03,1.15E+06,3.27E+01,8.58E+04,7.36E+09,2.93E+02
1.03E+03,1.07E+06,3.21E+01,8.55E+04,7.31E+09,2.92E+02
1.08E+03,1.17E+06,3.29E+01,8.61E+04,7.41E+09,2.93E+02
1.04E+03,1.08E+06,3.22E+01,8.42E+04,7.09E+09,2.90E+02
1.04E+03,1.09E+06,3.23E+01,8.60E+04,7.39E+09,2.93E+02
1.02E+03,1.05E+06,3.20E+01,8.45E+04,7.13E+09,2.91E+02
1.04E+03,1.09E+06,3.23E+01,8.64E+04,7.46E+09,2.94E+02
1.03E+03,1.06E+06,3.21E+01,8.52E+04,7.25E+09,2.92E+02
1.03E+03,1.05E+06,3.20E+01,8.46E+04,7.16E+09,2.91E+02
1.03E+03,1.05E+06,3.20E+01,8.45E+04,7.14E+09,2.91E+02
1.02E+03,1.03E+06,3.19E+01,8.28E+04,6.86E+09,2.88E+02
9.80E+02,9.60E+05,3.13E+01,8.14E+04,6.62E+09,2.85E+02
